Property Listing Number,Listing Office,Agent Name,Price,Status,Address,City,Family Type,State,County,Bedrooms ,Bathrooms,SqFtTotFn,DOM, Tax  Amount ,Lot - Acres,Garage,Year Built,Total Stories,Surveyed,Seasonal,Rooms ,Flood Zone,Current Use,Basement Access Type,Basement
4043956,Granite Northland Associates,Doreen Wyman,"$198,500 ",OP,668 NH ROUTE 118,Canaan,Single Family,NH,NH-Grafton,3,2,"1,144",520,"4,292",1.09,No,2007,1,Yes,No,5,No,No,Walkout,Yes
4090057,Vanessa Stone Real Estate,Vanessa Stone,"$130,000 ",OP,157 Follensbee Rd,Canaan,Single Family,NH,NH-Grafton,4,2,"2,304",275,"3,410",1,No,1973,2,Unknown,No,8,No,No,Walkout,Yes
4091600,Vanessa Stone Real Estate,Vanessa Stone,"$349,900 ",OP,142 Wescott Road,Canaan,Single Family,NH,NH-Grafton,4,2,"2,100",377,"6,794",18,Yes,2003,2,Yes,No,8,No,No,,No
4092897,Granite Northland Associates,Doreen Wyman,"$175,000 ",OP,46 Kilton Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,673",572,"4,040",4.1,Yes,1900,1.5,Unknown,No,8,No,,,Yes
4103231,Vanessa Stone Real Estate,Vanessa Stone,"$259,900 ",OP,16 Gould Rd,Canaan,Single Family,NH,NH-Grafton,4,3,"3,221",409,"6,379",2,Yes,1980,2,Yes,No,12,Unknown,No,Walkout,Yes
4104757,Granite Northland Associates,Doreen Wyman,"$70,000 ",OP,31 Codfish Hill Road,Canaan,Single Family,NH,NH-Grafton,2,1,868,130,"1,496",0.64,No,1983,1,Yes,No,4,No,,,No
4121160,Granite Northland Associates,Doreen Wyman,"$75,000 ",OP,40 Warbonnet,Canaan,Single Family,NH,NH-Grafton,3,0,"1,260",288,"2,132",2.63,No,1952,1,Yes,Yes,6,No,No,,No
4122903,Granite Northland Associates,Doreen Wyman,"$210,000 ",OP,136 SOUTH ROAD,Canaan,Single Family,NH,NH-Grafton,3,2,"1,344",33,"4,082",5.1,Yes,2007,1,Yes,No,5,Unknown,,Walkout,Yes
4135475,Real Home Services and Solutions,Agent41590 House,"$43,199 ",OP,463 NH ROUTE 118,Canaan,Single Family,NH,NH-Grafton,3,1,"1,432",7,"3,205",2.19,Yes,1958,1,Yes,No,6,Unknown,,,No
4137102,RE/MAX Northern Edge Realty LLC,Steve Grone,"$60,000 ",OP,154 Grafton Turnpike Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,944",201,"5,624",3.4,Yes,1990,2,Unknown,No,6,No,,Interior,Yes
4139864,Cantlin Associates REALTORS,house 2264,"$180,000 ",OP,5 Hersey Way,Canaan,Single Family,NH,NH-Grafton,3,2,"2,616",195,"3,821",1.7,Yes,1989,1.5,Yes,No,7,No,No,Walk-up,Yes
4139948,Moosilauke Realty,Myles Moran,"$150,000 ",OP,25 Rogers Way,Canaan,Single Family,NH,NH-Grafton,3,2,"1,972",0,"5,800",2.7,Yes,1995,1.75,Yes,No,9,No,No,Interior,Yes
4142306,Granite Northland Associates,Doreen Wyman,"$211,000 ",OP,70 Wolfson Spring,Canaan,Single Family,NH,NH-Grafton,3,2,0,269,"4,505",16.46,No,2004,2.5,Yes,No,8,No,Yes,Walkout,Yes
4144886,Coldwell Banker RB/Center Harbor,Robert Williams,"$28,000 ",OP,60 Gould Road,Canaan,Single Family,NH,NH-Grafton,0,0,600,129,"1,099",1,No,1968,1,Yes,Yes,0,No,,,No
4145928,Granite Northland Associates,Doreen Wyman,"$100,000 ",OP,43 Gristmill Hill Road,Canaan,Single Family,NH,NH-Grafton,3,1,"1,499",44,"3,587",5.4,Yes,1840,1.75,Yes,No,7,No,No,Walk-up,Yes
4147155,Moseley Associates,Cheryl Brush,"$115,000 ",OP,51 Canaan Street,Canaan,Single Family,NH,NH-Grafton,3,2,"1,288",21,"3,095",0.28,Yes,1912,1,Unknown,No,5,Unknown,,Walkout,Yes
4146884,Vanessa Stone Real Estate,Vanessa Stone,"$219,000 ",OP,672 Goose Pond Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,134",123,"5,749",1.4,No,1978,2,Yes,No,4,No,No,Walk-up,Yes
4147649,Vanessa Stone Real Estate,Vanessa Stone,"$170,000 ",OP,60 Gristmill Hill Rd,Canaan,Single Family,NH,NH-Grafton,3,2,"1,805",27,"3,328",0.92,Yes,1995,1,Yes,No,6,No,No,Walkout,Yes
4149287,Vanessa Stone Real Estate,Vanessa Stone,"$90,000 ",OP,835 Grafton Turnpike,Canaan,Single Family,NH,NH-Grafton,2,1,968,62, -   ,2.29,No,1988,1.5,Unknown,No,5,Unknown,No,,No
4150907,Vanessa Stone Real Estate,Vanessa Stone,"$184,000 ",OP,355 Jones Hill Rd.,Canaan,Single Family,NH,NH-Grafton,2,1,"1,120",349, -   ,5.07,No,2012,1,Yes,No,4,Unknown,No,,No
4151510,Granite Northland Associates,Doreen Wyman,"$135,000 ",OP,54 BLAIN ROAD,Canaan,Single Family,NH,NH-Grafton,3,2,"1,188",20,"3,237",5.05,No,2003,1,Yes,No,6,No,No,,No
4151913,Granite Northland Associates,Doreen Wyman,"$284,900 ",OP,124 South Road,Canaan,Single Family,NH,NH-Grafton,3,3,"3,686",271,"6,995",2.66,Yes,1991,2,Yes,No,9,No,,,No
4156165,Granite Northland Associates,Joyce Harvey,"$199,000 ",OP,523 Switch Road,Canaan,Single Family,NH,NH-Grafton,2,2,"1,536",48,"4,058",3,Yes,2000,1,No,No,7,Unknown,No,Interior,Yes
4160878,Granite Northland Associates,Doreen Wyman,"$225,000 ",OP,685 SOUTH ROAD,Canaan,Single Family,NH,NH-Grafton,3,2,"2,080",161,"5,688",6.3,Yes,1991,2.5,Yes,No,6,Unknown,No,,No
4162801,Granite Northland Associates,Doreen Wyman,"$165,000 ",OP,132 Follensbee Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,280",303,"2,916",7,Yes,1973,1,Unknown,No,7,No,,Interior,Yes
4163162,Coldwell Banker Redpath and Co./Quechee,agent22051 house,"$154,500 ",OP,302 Canaan Street,Canaan,Single Family,NH,NH-Grafton,2,2,"1,374",143,"3,356",3.85,Yes,2004,3,Yes,No,5,No,,,No
4165422,RE/MAX Northern Edge Realty LLC,Steve Grone,"$50,001 ",OP,159 Gould Rd,Canaan,Single Family,NH,NH-Grafton,2,1,"2,309",44,"3,725",9.6,No,1960,2,Unknown,No,6,Unknown,,,No
4167123,Martha E. Diebold/Hanover,Susanne Pacilio,"$263,000 ",OP,503 Switch Road,Canaan,Single Family,NH,NH-Grafton,3,3,"2,624",398,"6,155",7,Yes,1840,2,No,No,10,Unknown,,Interior,Yes
4170234,Granite Northland Associates,Doreen Wyman,"$58,100 ",OP,34 ROGERS WAY,Canaan,Single Family,NH,NH-Grafton,3,2,"1,424",31,"3,276",1.9,No,1994,1.75,Yes,No,6,Unknown,,Walkout,Yes
4170673,Coldwell Banker Redpath and Company,House Agent,"$193,800 ",OP,165 HINKSON BROOK,Canaan,Single Family,NH,NH-Grafton,3,2,"2,244",343,"5,023",1.2,Yes,1973,2,No,No,6,Unknown,,Interior,Yes
4172690,Vanessa Stone Real Estate,Vanessa Stone,"$245,000 ",OP,562 Fernwood Farms Road,Canaan,Single Family,NH,NH-Grafton,1,2,320,34,"5,256",3,No,1950,1,Unknown,Yes,3,Unknown,,,No
4173482,Granite Northland Associates,Doreen Wyman,"$147,000 ",OP,52 EASTMAN,Canaan,Single Family,NH,NH-Grafton,3,2,"1,104",83,"2,025",14.3,No,1999,1,Yes,No,5,No,,,No
4173998,Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$190,000 ",OP,1060 Goose Pond Road,Canaan,Single Family,NH,NH-Grafton,2,1,802,2,"4,628",0.52,No,1950,1,Unknown,Yes,4,Unknown,No,,No
4176639,Vanessa Stone Real Estate,Frederick Lane,"$227,500 ",OP,404 Jones Hill Road,Canaan,Single Family,NH,NH-Grafton,3,3,"2,438",6,"4,509",1.5,Yes,1991,1.75,Yes,No,10,No,No,Walkout,Yes
4180103,Coldwell Banker Homes Unlimited,Cedric Howard,"$65,000 ",OP,180 Canaan Street,Canaan,Single Family,NH,NH-Grafton,2,1,915,19,"2,380",5,No,2000,1.5,Unknown,Unknown,5,Unknown,,,No
4181651,Vanessa Stone Real Estate,Vanessa Stone,"$92,700 ",OP,19 School St,Canaan,Single Family,NH,NH-Grafton,3,1,960,303,"1,891",0.11,No,1940,2,Unknown,No,7,Unknown,No,,No
4186310,Vanessa Stone Real Estate,Vanessa Stone,"$192,000 ",OP,22 School Street,Canaan,Single Family,NH,NH-Grafton,4,2,"3,078",58,"4,038",0.17,No,2004,2,Unknown,No,10,No,No,Interior,Yes
4188244,RE/MAX Northern Edge Realty LLC,Steve Grone,"$119,000 ",OP,154 Grafton Turnpike Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,944",13,"5,624",3.4,Yes,1990,2,Unknown,No,6,No,,Interior,Yes
4193315,Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$26,730 ",OP,41 NH Route 118,Canaan,Single Family,NH,NH-Grafton,5,3,"3,552",10,"3,911",0.65,Yes,1890,2,Unknown,No,13,Unknown,,Interior,Yes
4194073,Granite Northland Associates,Doreen Wyman,"$188,000 ",OP,1282 US Route 4,Canaan,Single Family,NH,NH-Grafton,3,0,"1,248",166,"3,940",0.55,No,2005,1,Yes,No,5,No,,Walk-up,Yes
4194392,Granite Northland Associates,Doreen Wyman,"$30,000 ",OP,82 Cod Fish Hill,Canaan,Single Family,NH,NH-Grafton,2,1,"1,088",243,"1,192",1,Yes,1790,1,Unknown,No,4,No,,Walkout,Yes
4196711,Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$70,150 ",OP,8 Reagan Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,696",8,"3,524",0.34,Yes,1840,1.5,Unknown,No,6,Unknown,,Interior,Yes
4205298,Granite Northland Associates,Doreen Wyman,"$44,000 ",OP,163 NH Route118,Canaan,Single Family,NH,NH-Grafton,0,0,"1,120",363,"2,051",1.25,Yes,2008,1,Unknown,No,1,No,No,,No
4206222,Vanessa Stone Real Estate,Vanessa Stone,"$164,000 ",OP,9 Whispering Winds Way,Canaan,Single Family,NH,NH-Grafton,2,1,"1,088",107,"3,353",2.9,No,1958,1.5,Unknown,No,5,No,,Walkout,Yes
4207919,Coldwell Banker RB/Laconia Court St.,Mary Williams,"$38,000 ",OP,183 Orange Rd,Canaan,Single Family,NH,NH-Grafton,4,2,"2,380",252,"4,155",1.2,No,1940,2,Unknown,No,8,Unknown,,Walk-up,Yes
4209269,Granite Northland Associates,Doreen Wyman,"$30,000 ",OP,1012 US Route 4,Canaan,Single Family,NH,NH-Grafton,3,1,"1,163",407,"1,961",3.5,No,1860,1.5,No,No,6,No,No,Walk-up,Yes
4209413,Vanessa Stone Real Estate,Vanessa Stone,"$29,900 ",OP,143 Back Bay Road,Canaan,Single Family,NH,NH-Grafton,1,1,625,59,955,0.69,No,1970,1,Unknown,No,4,No,,,No
4210094,Vanessa Stone Real Estate,Frederick Lane,"$250,000 ",OP,176 South Road,Canaan,Single Family,NH,NH-Grafton,3,3,"2,304",37,"4,602",3,No,1840,2,Yes,No,7,No,,Walkout,Yes
4214037,Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$175,000 ",OP,267 Grafton Turnpike Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,404",5,"2,864",2,No,1982,2,Unknown,No,6,Unknown,No,Walkout,Yes
4216313,Vanessa Stone Real Estate,Vanessa Stone,"$125,000 ",OP,69 Blackwater Road,Canaan,Single Family,NH,NH-Grafton,3,1,"1,316",10,"3,100",0.81,Yes,1960,1,Unknown,No,5,Yes,,Interior,Yes
4220117,Granite Group Realty Services,Sherman Ross,"$50,000 ",OP,78 Orange Rd,Canaan,Single Family,NH,NH-Grafton,2,2,"1,096",239,"3,109",1.14,Yes,1987,2,Unknown,No,6,Unknown,,Walkout,Yes
4221139,Granite Northland Associates,Doreen Wyman,"$275,000 ",OP,577 Grafton Turnpike Road,Canaan,Single Family,NH,NH-Grafton,4,2,"1,952",232,"5,972",20.3,Yes,2005,1.5,Yes,No,9,No,Yes,Walkout,Yes
4226902,Granite Northland Associates,Doreen Wyman,"$19,900 ",OP,1 Bruce Road,Canaan,Single Family,NH,NH-Grafton,3,2,"3,534",38,"4,289",0.72,No,1945,2,Unknown,No,8,Unknown,,Interior,Yes
4226237,Granite Northland Associates,Doreen Wyman,"$215,000 ",OP,705 Canaan Street,Canaan,Single Family,NH,NH-Grafton,3,2,"1,764",79,"4,167",0.74,Yes,1850,1.5,Yes,No,10,No,No,Interior,Yes
4226898,Coldwell Banker RB/Laconia Court St.,Mary Williams,"$142,000 ",OP,48 Overlook Way,Canaan,Single Family,NH,NH-Grafton,3,2,"1,344",23,"3,557",2.1,Yes,1992,2,Unknown,No,5,Unknown,,Walkout,Yes
4232715,Vanessa Stone Real Estate,Vanessa Stone,"$186,000 ",OP,28 COLUMBIA LANE,Canaan,Single Family,NH,NH-Grafton,3,2,"2,158",8,"3,632",2.15,No,1999,1,Yes,No,7,Yes,,Interior,Yes
4236576,Four Seasons Sotheby's Int'l Realty,Dick DuMez,"$169,000 ",OP,20 Jerusalem Road,Canaan,Single Family,NH,NH-Grafton,4,2,"1,800",33,"4,022",3.5,Yes,1972,2,Unknown,No,8,No,Unknown,,No
4236908,Vanessa Stone Real Estate,Vanessa Stone,"$190,000 ",OP,188 Jerusalem,Canaan,Single Family,NH,NH-Grafton,2,2,"1,724",116,"4,518",1.38,Yes,1987,1,Yes,No,9,No,No,Interior,Yes
4246706,Coldwell Banker Redpath and Company,House Agent,"$37,500 ",OP,232 River Rd,Canaan,Single Family,NH,NH-Grafton,1,1,"1,312",47, -   ,1.49,No,1933,1.5,Unknown,No,4,Unknown,,Walk-up,Yes
4247814,Century 21 Shepard & Flint Realty,April Shepard,"$45,000 ",OP,12 Nicks Lane,Canaan,Single Family,NH,NH-Grafton,3,1,702,28,"1,519",3.44,No,2005,1,Unknown,No,5,Unknown,,,No
4249315,Vanessa Stone Real Estate,Vanessa Stone,"$147,500 ",OP,856 Goose Pond Road,Canaan,Single Family,NH,NH-Grafton,2,1,762,32,"4,501",0.32,No,1945,1,Unknown,Yes,5,Unknown,,,No
4252168,Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$132,000 ",OP,417 Choate Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,050",9,"2,698",1.54,Yes,1965,1,Yes,No,6,No,,,No
4253698,Granite Northland Associates,Doreen Wyman,"$199,000 ",OP,254 Grist Mill Hill Road,Canaan,Single Family,NH,NH-Grafton,4,2,"1,890",377,"4,616",12.5,Yes,1830,1.75,No,No,7,No,Yes,Walk-up,Yes
4254528,Granite Northland Associates,Doreen Wyman,"$65,000 ",OP,293 US Route 4,Canaan,Single Family,NH,NH-Grafton,4,1,"1,350",472,"2,887",0.5,No,1900,1.5,No,No,7,No,No,Interior,Yes
4256460,Vanessa Stone Real Estate,Frederick Lane,"$85,000 ",OP,410 NH Route 118,Canaan,Single Family,NH,NH-Grafton,3,2,960,489,"2,726",3.1,No,2006,1.75,Yes,No,5,Unknown,No,Interior,Yes
4259863,Vanessa Stone Real Estate,Vanessa Stone,"$177,000 ",OP,8 Reagan Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,696",71,"3,606",0.34,Yes,1840,1.75,Yes,No,6,Unknown,No,Walk-up,Yes
4259285,Vanessa Stone Real Estate,Mary L Chamberlin,"$199,900 ",OP,36 HIGH STREET,Canaan,Single Family,NH,NH-Grafton,4,2,"2,200",21,"5,015",0.28,No,1898,1.75,Unknown,No,11,No,,Walk-up,Yes
4293114,Granite Northland Associates,Joyce Harvey,"$160,000 ",OP,55 Gristmill Hill Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,260",35,"3,513",5,Yes,1987,1,Yes,No,5,No,No,Interior,Yes
4311417,Big Green Real Estate,Bruce Bronner,"$188,400 ",OP,1042 Goose Pond Road,Canaan,Single Family,NH,NH-Grafton,3,1,823,31,"4,499",0.21,No,1970,1.5,Unknown,Yes,7,No,,Walkout,No
4314129,Vanessa Stone Real Estate,Vanessa Stone,"$79,000 ",OP,153 Roberts,Canaan,Single Family,NH,NH-Grafton,3,1,"1,366",115,"2,017",2.06,No,1982,1,Yes,No,7,No,,,No
4314459,Vanessa Stone Real Estate,Vanessa Stone,"$179,900 ",OP,317 West Farms Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,075",43,"2,527",0.4,Yes,1964,1,Unknown,No,5,No,,Walkout,Yes
4319232,Granite Northland Associates,Doreen Wyman,"$35,000 ",OP,1275 US Route 4,Canaan,Single Family,NH,NH-Grafton,2,1,892,22,"2,815",0.5,No,1914,1.5,Unknown,No,5,No,No,Interior,Yes
4320241,Granite Northland Associates,Doreen Wyman,"$79,000 ",OP,49 NH Route 118,Canaan,Single Family,NH,NH-Grafton,4,1,"2,118",48,"3,532",0.6,No,1890,2,Unknown,No,9,No,No,Walk-up,Yes
4321742,Granite Northland Associates,Doreen Wyman,"$247,500 ",OP,452 Canaan Street,Canaan,Single Family,NH,NH-Grafton,3,1,"1,080",368,"8,415",0.98,No,1800,1.5,Yes,No,5,No,No,Walk-up,Yes
4323734,LindeMac Real Estate,Linde McNamara,"$135,000 ",OP,510 Canaan Street,Canaan,Single Family,NH,NH-Grafton,3,3,"1,599",210,"4,819",0.9,No,1835,1.5,Unknown,No,9,No,,Interior,Yes
4324176,Granite Northland Associates,Doreen Wyman,"$179,900 ",OP,130 South Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,884",11,"4,123",2.66,Yes,1986,1,Yes,No,7,No,,Walk-up,Yes
4327167,Granite Northland Associates,Doreen Wyman,"$188,000 ",OP,663 South Rd,Canaan,Single Family,NH,NH-Grafton,2,1,"1,144",79,"4,344",1.04,No,2006,1.5,Yes,No,5,No,,Walk-up,Yes
4328405,RE/MAX Connection,Simone Barry,"$35,500 ",OP,31 MAPLE AVE,Canaan,Single Family,NH,NH-Grafton,3,2,"1,715",24,"1,520",0.25,Yes,1830,1.75,Unknown,No,7,No,,Walk-up,Yes
4329521,Vanessa Stone Real Estate,Vanessa Stone,"$255,000 ",OP,25 Cardigan Mtn Rd,Canaan,Single Family,NH,NH-Grafton,3,2,"1,938",5,"4,194",15.02,Yes,1950,2,Unknown,No,7,Unknown,No,Walk-up,Yes
4330480,Granite Group Realty Services,Alan Destefano,"$55,000 ",OP,6 Serendipity Lane,Canaan,Single Family,NH,NH-Grafton,2,1,906,71,"1,472",1.02,No,1971,1,Unknown,No,4,Unknown,,Walkout,Yes
4331197,Coldwell Banker LIFESTYLES - Grantham,Jeff S Adie,"$175,500 ",OP,183 Orange Rd,Canaan,Single Family,NH,NH-Grafton,4,2,"2,380",35,"4,357",1.2,No,1940,2,Unknown,No,7,Unknown,No,Walk-up,Yes
4331453,Century 21 Highview Realty,Steve Floyd,"$151,500 ",OP,228 Canaan Street,Canaan,Single Family,NH,NH-Grafton,3,2,"1,484",22,"4,187",2.98,Yes,1978,1,Yes,No,6,No,,Interior,Yes
4332236,Vanessa Stone Real Estate,Vanessa Stone,"$190,000 ",OP,26 Eringlen Way,Canaan,Single Family,NH,NH-Grafton,2,1,"1,488",120,"3,954",3.36,No,2006,1.5,Yes,No,5,Unknown,No,,No
4334683,Granite Northland Associates,Doreen Wyman,"$295,000 ",OP,21 Highland Ave,Canaan,Single Family,NH,NH-Grafton,3,3,"2,564",42,"5,432",2.77,Yes,2000,1,Yes,No,6,No,No,Walkout,Yes
4334787,Granite Northland Associates,Doreen Wyman,"$269,000 ",OP,48 Pheasant Lane,Canaan,Single Family,NH,NH-Grafton,3,2,"2,538",227,"5,532",5.57,Yes,1997,1.5,Yes,No,9,No,,Walkout,Yes
4335083,Granite Northland Associates,Doreen Wyman,"$124,500 ",OP,265 JERUSALEM,Canaan,Single Family,NH,NH-Grafton,3,1,"1,357",52,"3,280",4.5,No,1980,1,Yes,No,6,No,No,,No
4336657,Granite Northland Associates,Doreen Wyman,"$71,250 ",OP,10 Bruce Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,064",136,"1,714",0.28,No,2004,1,Yes,No,5,Unknown,No,,No
4338848,Moose Mountain Realty,Kerrie E Roy,"$88,400 ",OP,35 NH Route 118 Route,Canaan,Single Family,NH,NH-Grafton,3,1,"1,200",15,"3,360",0.52,No,1890,1.5,Unknown,No,7,Unknown,No,Walk-up,Yes
4340877,Vanessa Stone Real Estate,Vanessa Stone,"$92,000 ",OP,11 Egg Lane,Canaan,Single Family,NH,NH-Grafton,2,1,640,177,"2,441",1.41,No,1982,1,Yes,No,4,No,,,No
4344003,Moose Mountain Realty,Kerrie E Roy,"$292,000 ",OP,60 West Shore Road,Canaan,Single Family,NH,NH-Grafton,1,1,640,117,"5,616",0.24,No,1959,1,Yes,Yes,4,No,No,,No
4345625,Granite Northland Associates,Joyce Harvey,"$93,000 ",OP,6 Hill View Drive,Canaan,Single Family,NH,NH-Grafton,3,2,960,83,"2,235",1.6,No,2000,1,Unknown,No,5,No,,,No
4346791,Granite Northland Associates,Doreen Wyman,"$83,500 ",OP,17 Hemlock Lane,Canaan,Single Family,NH,NH-Grafton,3,2,672,4,"1,626",1.9,Yes,1964,1,Yes,No,5,No,No,,No
4347779,Coldwell Banker Redpath and Company,House Agent,"$135,000 ",OP,897 Route 118,Canaan,Single Family,NH,NH-Grafton,4,2,"1,719",277,"4,246",6,Yes,1850,2,Unknown,No,10,No,No,Interior,Yes
4348687,Vanessa Stone Real Estate,Mary L Chamberlin,"$189,000 ",OP,1096 Goose Pond Road,Canaan,Single Family,NH,NH-Grafton,1,1,914,74,"2,457",0.3,No,1920,1,Unknown,No,5,No,No,Walkout,Yes
4351063,Coldwell Banker Redpath and Company,House Agent,"$123,000 ",OP,13 Canaan Street,Canaan,Single Family,NH,NH-Grafton,2,2,"2,212",195,"3,720",0.4,Yes,1920,2,Unknown,No,6,Unknown,No,Interior,Yes
4351207,Granite Northland Associates,Doreen Wyman,"$192,500 ",OP,103 Fernwood Farms Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,862",122,"4,450",11.9,No,2002,1.75,Yes,No,7,No,No,Walkout,Yes
4350783,Coldwell Banker Redpath and Company,House Agent,"$435,000 ",OP,706 Goose Pond Rd.,Canaan,Single Family,NH,NH-Grafton,2,3,"2,086",8,"8,983",3.38,Yes,2000,3,Yes,No,4,Unknown,No,Interior,Yes
4356225,Vanessa Stone Real Estate,Sam Vidal,"$69,000 ",OP,343 Nh Route 118,Canaan,Single Family,NH,NH-Grafton,2,1,"1,020",173,"1,822",5.2,No,1978,1,Unknown,No,5,Unknown,,,No
4356343,Granite Northland Associates,Doreen Wyman,"$123,000 ",OP,35 Canaan,Canaan,Single Family,NH,NH-Grafton,3,2,"1,435",167,"3,586",0.3,Yes,1840,1.5,Unknown,No,6,No,No,Walkout,Yes
4360026,Big Green Real Estate,William H Johnson,"$459,000 ",OP,55 Cove Rd.,Canaan,Single Family,NH,NH-Grafton,3,2,"1,854",767,"10,882",1.6,Yes,1987,1.5,Yes,No,7,Unknown,No,,No
4361887,Granite Northland Associates,Doreen Wyman,"$187,500 ",OP,280 Roberts Road,Canaan,Single Family,NH,NH-Grafton,2,2,"1,680",1,"4,241",3,No,1980,1.75,Yes,No,7,No,,Walk-up,Yes
4363642,Granite Northland Associates,Doreen Wyman,"$149,900 ",OP,154 Grafton Turnpike Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,944",35,"5,925",3.4,Yes,1990,2,Unknown,No,6,No,,Interior,Yes
4364033,Vanessa Stone Real Estate,Vanessa Stone,"$149,500 ",OP,33 West Farms Road,Canaan,Single Family,NH,NH-Grafton,2,2,"1,352",271,"3,030",1.5,No,1997,1,Yes,No,5,No,,,No
4365684,Bean Group / Vermont,Mark Roden,"$280,000 ",OP,43 Beech Cobble Road,Canaan,Single Family,NH,NH-Grafton,2,2,"2,186",41,"4,927",26.48,Yes,1986,2,Yes,No,6,No,Yes,,No
4366178,Vanessa Stone Real Estate,Vanessa Stone,"$124,900 ",OP,10 Gould Road,Canaan,Single Family,NH,NH-Grafton,2,1,952,15,"3,068",1.5,Yes,1986,1,Yes,No,5,Unknown,No,Interior,Yes
4371285,RE/MAX Bayside,Robert Wichland,"$120,900 ",OP,10 First Street,Canaan,Single Family,NH,NH-Grafton,3,1,"1,228",42,"3,549",0.52,Yes,1955,1,Unknown,No,6,No,No,Walkout,Yes
4371569,Vanessa Stone Real Estate,Vanessa Stone,"$272,000 ",OP,114 Canaan Street,Canaan,Single Family,NH,NH-Grafton,3,3,"2,254",601,"7,274",12,Yes,2003,1.75,Yes,No,9,No,Yes,Walkout,Yes
4373344,Granite Northland Associates,Doreen Wyman,"$188,000 ",OP,275 Roberts Road,Canaan,Single Family,NH,NH-Grafton,3,1,"1,402",80,"3,988",2.01,Yes,1860,1.5,Yes,No,6,No,,Walk-up,Yes
4374389,Granite Northland Associates,Doreen Wyman,"$265,000 ",OP,80 Canaan Street,Canaan,Single Family,NH,NH-Grafton,2,2,"1,424",77,"5,932",2.88,Yes,2010,1,Yes,No,6,No,No,Interior,Yes
4376693,Century 21 Highview Realty,Steve Floyd,"$143,000 ",OP,15 White Tail Lane,Canaan,Single Family,NH,NH-Grafton,3,2,"1,040",16,"3,220",3.6,No,2003,1,Yes,No,6,Unknown,No,Interior,Yes
4378380,Century 21 Highview Realty,Susan Latham,"$64,500 ",OP,1102 US Route 4,Canaan,Single Family,NH,NH-Grafton,3,2,"2,708",14,"4,122",0.82,Yes,1925,1.5,Unknown,No,8,Unknown,,Interior,Yes
4378775,Vanessa Stone Real Estate,Vanessa Stone,"$175,000 ",OP,180 South Road,Canaan,Single Family,NH,NH-Grafton,4,2,"1,674",187,"4,114",5.64,Yes,2003,1,Yes,No,8,No,No,,No
4379704,Vanessa Stone Real Estate,Vanessa Stone,"$270,000 ",OP,10 Cottage Lane,Canaan,Single Family,NH,NH-Grafton,4,3,"2,240",27,"8,105",2.22,Yes,1973,2,Unknown,No,8,Unknown,,Interior,Yes
4381243,Four Seasons Sotheby`s Int`l Realty,House,"$320,000 ",OP,208 Canaan Street,Canaan,Single Family,NH,NH-Grafton,4,4,"3,168",52,"6,317",7.3,No,1989,2,Yes,No,8,No,No,Walk-up,Yes
4387179,Vanessa Stone Real Estate,Vanessa Stone,"$125,000 ",OP,65 Eastman Road,Canaan,Single Family,NH,NH-Grafton,2,1,"1,008",22,"2,407",12.09,No,2007,1,Unknown,No,4,Unknown,Yes,,No
4390448,Granite Northland Associates,Doreen Wyman,"$73,000 ",OP,114 Graceville Road,Canaan,Single Family,NH,NH-Grafton,3,1,"1,152",120,"2,592",3,No,1962,1,Yes,No,5,No,No,Interior,Yes
4392255,Up Front Realty,Peter Gosselin,"$179,353 ",OP,6 Serendipity Lane,Canaan,Single Family,NH,NH-Grafton,4,2,"1,780",84,"3,100",1.02,No,1971,2,Unknown,No,7,Unknown,,Walkout,Yes
4394418,Granite Northland Associates,Doreen Wyman,"$144,000 ",OP,92 Moose Mountain Road,Canaan,Single Family,NH,NH-Grafton,3,2,"1,560",140,"3,486",2.16,Yes,1997,1,Yes,No,7,No,,,No
4394651,Granite Northland Associates,Doreen Wyman,"$285,000 ",OP,204 Roberts Road,Canaan,Single Family,NH,NH-Grafton,3,3,"2,888",539,"8,814",5.08,Yes,2006,2,Yes,No,8,No,,Walkout,Yes
4398592,Vanessa Stone Real Estate,Vanessa Stone,"$130,000 ",OP,39 School Street,Canaan,Single Family,NH,NH-Grafton,3,1,"1,260",123,"3,435",0.18,Yes,1920,1.75,Unknown,No,5,No,No,Walk-up,Yes
