_id,amenities,check_in_date,check_out_date,city,country,description,hotel_star_rating,landmark,latitude,longitude,occupancy,property_address,property_id,property_name,room_price,room_types,uniq_id
ObjectId(5b379a6ee15bc1a8984f1246),Newspaper|Pickup & Drop|Parking|AC,04/08/2016,05/08/2016,Supaul,India,"Welcome to the land rich in culture, history and tradition of hospitality Bihar. Hotel Sri Balajee, Bihar defines a classic combination of luxury and warmth. The hotel is a boutique palace which offers diversified needs of the guests staying for business or personal reason. The overall appearance of the hotel is accentuated by easy accessibility to the landmarks of the city.",3,,26.1175098,86.6030655,2 Adults 2 Kids,"Near Station chowk, Supaul",79866,Hotel Sri Balajee,445,Double Non-A/C Rooms,3a74d68ce76b4b1c5f3233e2e6e6694b
ObjectId(5b379a6ee15bc1a8984f1247),,04/08/2016,05/08/2016,New Delhi,India,1.5 kms to Kailash Colony Metro Station7.5kms to India Gate 14.2 kms to Indira Gandhi International Airport 11.6 kms to New delhi railway station,2,,28.5555325,77.2337341,1 Adult 0 Kid,"GK 1, New Delhi",112970,Jetley Paying Guest,1889,Standard Hostel Sharing Room,c77739ff505edf8ff06bf829f26c9da3
ObjectId(5b379a6ee15bc1a8984f1248),Card Payment|Pickup & Drop|Elevator|Parking,04/08/2016,05/08/2016,New Delhi,India,,5,,28.5897255,77.0752563,1 Adult 2 Kids,", New Delhi",83436,Galaxy AC rooms,2778,Deluxe Single Room,413ced137e097bf1c2cc4819e77f93bd
ObjectId(5b379a6ee15bc1a8984f1249),WiFi|Veg Only|AC,04/08/2016,05/08/2016,Tonk,India,"What should you know? A 2013 establishment, Hotel Chopal comprises 15 well-appointed rooms classified as Double AC and Non AC, Deluxe Double AC and Non AC, Super Deluxe AC, and 4 Bedded AC rooms. All these rooms in this hotel have been equipped with satellite TV, internet access, and tea/coffee maker, and also come with laundry service. In addition, the hotel provides valet parking, railway station and airport transfer, wired internet connection, in-room safe, and lounge facilities. The hotel also has a multi-cuisine restaurant at the guests’ disposal. Hotel Chopal is located 65 km away from the Jaipur airport and 37 km from Isarda railway station.Why should you stay here? Travelers to Tonk will find Hotel Chopal to be a suitable accommodation for the array of facilities offered at attractive rates.",1,,26.3875084,75.9304047,2 Adults 2 Kids,"Sangarampura, Tonk",48038,Hotel Chopal,554,Double Non-A/C Rooms,fb5a42df2f2304215bd89265554f84ca
ObjectId(5b379a6ee15bc1a8984f124a),Card Payment|Parking|AC,04/08/2016,05/08/2016,Chittorgarh,India,"What should you know? With world-class comfort offered to its guests, Hotel Pandit is a 2-star property with value for money rooms that are classified into super deluxe, deluxe, and dorm rooms. Guests can check out whenever they want to. The rooms are also equipped with an air conditioner. Telephone and cable TV is available in the room apart from 24-hour room service. Guests can avail same day laundry, travel assistance, currency exchange, postal service, and car rental. A multi-cuisine restaurant that serves mouth watering cuisines is also present at the hotel. Chittorgarh Fort, which is a tourist attraction is just 4.3 km from here. The nearest railway station is about 1.7 km from this hotel. Why should you stay here? The hotel is close to the railway station and provides budget accommodation in Chittorgarh.",4,,24.8848286,74.6216431,1 Adult 2 Kids,"Kumbha Nagar, Chittorgarh",36498,Hotel Pandit,889,Day Use Room For Deluxe A/c Doub,6e4c8455b421d09d02898cd4ed01ea29
ObjectId(5b379a6ee15bc1a8984f124b),Parking|AC,04/08/2016,05/08/2016,Chittaurgarh,India,,3,,24.8751602,74.6207123,2 Adults 2 Kids,", Chittaurgarh",61920,(*)Hotel Satkar,1000,Double Non-A/C Rooms,652102f1d792d5b1bb394ab5fda3ca74
ObjectId(5b379a6ee15bc1a8984f124c),WiFi|Free Breakfast|AC,04/08/2016,05/08/2016,New Delhi,India,3 kms to Kalkaji Mandir Metro Station 14 kms to Indira Gandhi International Airport 13 kms to New Delhi Railway Station 12 kms to India Gate / Connaught Place,2,,28.5352917,77.2509384,2 Adults 0 Kid,"Chittaranjan, New Delhi",112080,Dhritikunja Third,2362,Standard Room,3f6e3292fcdb59fd947857a408ddb4f7
ObjectId(5b379a6ee15bc1a8984f124d),Newspaper|AC,04/08/2016,05/08/2016,Chittaurgarh,India,"What should you know? The hotel offers air-conditioned rooms that are categorised into Deluxe and Luxury rooms. The rooms are equipped with suitable furniture and amenities like television, hot/cold water, television, private bathroom, and newspaper. It has a restaurant of its own and also provides room service. The hotel is located at a convenient distance of 400m from the railway station.Why should you stay here? The Chittorgarh fort, which is the prime attraction in the city, is located at 6 km distance from the hotel.",5,,24.8773174,74.6215591,1 Adult 2 Kids,"Near Railway station, Chittaurgarh",61746,(*)Shree Ji Hotel,1778,Luxury A/c Single,be1d87e6e31decc39ba8fe5d852b524f
ObjectId(5b379a6ee15bc1a8984f124e),WiFi|Pickup & Drop|Parking|AC,04/08/2016,05/08/2016,Thiruvananthapuram,India,,4,,8.3832741,76.9814606,2 Adults 2 Kids,", Thiruvananthapuram",109966,Hotel Grand Sea,2000,Sea View Deluxe A/c Double,3b2bb291707b5fb5d81228143b53b442
ObjectId(5b379a6ee15bc1a8984f124f),WiFi|Newspaper|Parking|AC,04/08/2016,05/08/2016,New Delhi,India,,1,,28.5366554,77.2577667,1 Adult 2 Kids,"Near Deshbandhu Apartment, New Delhi",80722,Hotel Le Grand,2298,Deluxe A/c Single,198ad879804df24e0ee9d2b7db6e73c4
