address,city,country,latitude,longitude,name,Rating,postalCode,province,websites
4522 26th Ave S,Fargo,US,46.83973,-96.86286,Taco John's,1,58104,ND,"http://locations.tacojohns.com/nd/fargo/4522-26th-avenue-south.html,http://tacojohns.com"
4040 Capital Blvd,Raleigh,US,35.8362,-78.581,KFC,1,27604,NC,
5990 S Flamingo Rd,Fort Lauderdale,US,26.045,-80.3123,KFC,2,33330,FL,http://www.kfc.com
102 1st Ave,New York,US,40.72647,-73.98591,McDonald's,1,10009,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
110 Wall St,New York,US,40.70478,-74.00652,Fuku,4,10005,NY,https://eatfuku.com/wall-st/
19230 Woodfield Rd,Gaithersburg,US,39.17209,-77.1533,McDonalds,1,20879,MD,
307 W Van Matre Ave,Eglin Afb,US,30.4834,-86.5091,Burger King,5,32542,FL,http://www.bk.com
238 N. Tyndall Parkway,Panama City,US,30.1506,-85.5907,SONIC Drive In,5,32404,FL,https://locations.sonicdrivein.com/fl/callaway/238-n--tyndall-parkway.html
8825 S 180th St,Kent,US,47.4407,-122.22222,Baja Fresh,4,98032-1030,WA,
2207 Bel Pre Rd,Silver Spring,US,39.0909,-77.0471,McDonald's,5,20906,MD,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
5290 Randolph Rd,Rockville,US,39.05349,-77.10454,Boston Market,2,20852,MD,"http://www.bostonmarket.com,https://bostonmarket.com/location/rockville-md-1031/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=1031"
67 Rehoboth Ave,Rehoboth Beach,US,38.71672,-75.07846,Capriotti's Sandwich Shop,3,19971,DE,http://capriottis.com
24043 Sussex Hwy,Seaford,US,38.652297,-75.59365,Arby's,5,19973,DE,http://www.arbys.com
38215 DuPont Blvd,Selbyville,US,38.45947,-75.23287,McDonald's,1,19975,DE,http://mcdonalds.com
24943 John J Williams Hwy,Millsboro,US,38.63372,-75.19405,McDonald's,4,19966,DE,http://mcdonalds.com
19010 Coastal Hwy,Rehoboth Beach,US,38.72909,-75.13136,Taco Bell,1,19971,DE,http://www.tacobell.com
9 S Dupont Hwy,Selbyville,US,38.455046,-75.233924,Arby's,5,19975,DE,"http://www.arbys.com,https://locations.arbys.com/us/de/selbyville/9-s-dupont-hwy.html,http://locations.arbys.com/us/de/selbyville/9-s-dupont-hwy.html"
6928 South Dupont Hwy,Woodside,US,39.070746,-75.554285,Arby's,5,19980,DE,http://www.arbys.com
1000 Midway Dr Ste 1,Harrington,US,38.9257,-75.56498,Domino's Pizza,2,19952,DE,"https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
261 N DuPont Hwy Ste 4,Dover,US,39.17019,-75.51793,Domino's Pizza,2,19901,DE,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
374 Walmart Dr Ste 5,Camden Wyoming,US,39.10046,-75.54637,Domino's Pizza,2,19934,DE,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
30 S Chapel St,Newark,US,39.68268,-75.74493,Burger King,4,19711,DE,http://www.bk.com
28370 Trails Edge Blvd,Bonita Springs,US,26.3243,-81.8064,Taco Bell,1,34134,FL,"http://www.tacobell.com,https://locations.tacobell.com/fl/bonita-springs/28370-trails-edge-blvd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=024557&utm_content=website"
9420 Daniels Pkwy,Fort Myers,US,26.547153,-81.80055,Waffle House,2,33912,FL,
5067 J Turner Butler Blvd,Jacksonville,US,30.2456,-81.599,Waffle House,1,32216,FL,https://locations.wafflehouse.com/fl-jacksonville-1050
2500 N Wickham Rd,Melbourne,US,28.1476,-80.6719,Burger King,4,32935,FL,http://www.bk.com
2026 W Pensacola St,Tallahassee,US,30.44104,-84.31994,McDonalds,1,32304,FL,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
1545 NW Saint Lucie West Blvd,Port Saint Lucie,US,27.3123,-80.3929,Burger King,1,34986,FL,http://www.bk.com
11141 N Tamiami Trail,Naples,US,26.2732,-81.8022,McDonald's,2,34110,FL,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
4938 New Jesup Hwy,Brunswick,US,31.217,-81.5178,Wendy's,1,31520,GA,http://www.wendys.com
1605 North Slappey Blvd,Albany,US,31.598988,-84.176389,Krystal,2,31701,GA,"http://t.co/3VQiWtMxPf,http://www.krystal.com/locations/georgia/albany-north-slappey-boulevard/"
4727 Altama Avenue,Brunswick,US,31.1979,-81.4856,SONIC Drive In,4,31520,GA,https://locations.sonicdrivein.com/ga/brunswick/4727-altama-avenue.html
1960 Barnett Shoals Rd,Athens,US,33.92417,-83.34074,Burger King,2,30605,GA,"http://www.bk.com,https://locations.bk.com/ga/athens/1960-barnett-shoals-rd.html"
1085 Prince Avenue,Athens,US,33.961899,-83.395299,Krystal,5,30606,GA,"http://t.co/3VQiWtMxPf,http://www.krystal.com/locations/georgia/athens-prince-avenue/"
1821 Glynn Ave Hwy 17,Brunswick,US,31.1575,-81.4797,McDonalds,2,31520,GA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
817 Rosedale Shopping Center,Saint Paul,US,45.01307,-93.16981,Panera Bread,1,55113,MN,"https://locations.panerabread.com/mn/roseville/817-rosedale-shopping-center.html,http://locations.panerabread.com/mn/roseville/817-rosedale-shopping-center.html?utm_medium=display-ad&utm_source=paid-digital&utm_campaign=yext&utm_content=local-search"
607 S Aurora St,Eldon,US,38.344906,-92.581825,Eldon Drive In,5,65026,MO,
10003 Abercorn Street,Savannah,US,31.9915,-81.1308,Krystal,5,31406,GA,http://www.krystal.com/locations/georgia/savannah-abercorn-frontage-road/
2383 Whitesville Road,Lagrange,US,32.9914,-85.0291,Arby's,1,30240,GA,"http://www.arbys.com,http://locations.arbys.com/us/ga/la-grange/2383-whitesville-road.html"
114 Commerce Avenue,Lagrange,US,33.048956,-85.026821,Krystal,4,30240,GA,"http://t.co/3VQiWtMxPf,http://www.krystal.com/locations/georgia/lagrange-commerce-avenue/"
2114 Shorter Ave NW,Rome,US,34.27156,-85.22555,Burger King,3,30165,GA,http://www.bk.com
3046 Bankhead Hwy,Austell,US,33.80496,-84.63687,Dominos Pizza,2,30168,GA,"http://dominos.com,http://www.dominos.com"
810 Archway Drive,Statesboro,US,32.412,-81.767,McDonald's,4,30458,GA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
200 S Huntington St,Syracuse,US,41.420929,-85.747599,Penguin Point,3,46567,IN,
2010 N Bend Rd,Hebron,US,39.088303,-84.71089,Penn Station East Coast Subs,1,41048,KY,
10518 Kingston Pike,Knoxville,US,35.89636,-84.13357,Petro's Chili & Chips,5,37922,TN,
436 Perkins Ext,Memphis,US,35.119273,-89.908347,Back Yard Burgers,5,38117,TN,
18400 W Warren Ave,Detroit,US,42.343338,-83.21957,Taco Bell,2,48228,MI,
510 W 7th St,Los Angeles,US,34.04654,-118.25596,The Halal Guys,5,90014,CA,
799 N Lake St,Pasadena,US,34.1597,-118.1329,McDonald's,5,91104,CA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
1515 S Bradley Rd,Santa Maria,US,34.934063,-120.418775,Taco Bell,1,93454,CA,"https://locations.tacobell.com/ca/santa-maria/1515-s-bradley-rd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=005360andutm_content=website,http://www.tacobell.com"
7750 Okeechobee Blvd,West Palm Beach,US,26.7072,-80.165,Jimmy John's,5,33411,FL,http://www.jimmyjohns.com
4506 W Overland Rd,Boise,US,43.58986,-116.2377,Pizza Hut,2,83705,ID,"http://www.pizzahut.com,https://www.pizzahut.com"
680 W Washington St #6,Sequim,US,48.08005,-123.11811,Burger King,1,98382,WA,"http://www.bk.com,https://locations.bk.com/wa/sequim/680-w-washington.html"
US Highway 58 221,Hillsville,US,36.7508,-80.7494,Burger King,3,24343,VA,"https://locations.bk.com/va/hillsville/us-highway-58---221.html,http://www.bk.com"
26 Railroad St,Saint Johnsbury,US,44.412902,-72.01748,Subway,3,5819,VT,http://www.subway.com
4006 S McColl Rd,Edinburg,US,26.2668,-98.201,Burger King,2,78539,TX,http://www.bk.com
10901 Midlothian Tpk,Richmond,US,37.506074,-77.598438,Arby's,3,23235,VA,http://locations.arbys.com/us/va/richmond/10901-midlothian-tpk.html
1603 Landmark Drive,Cottage Grove,US,43.105511,-89.198685,Arby's,4,53527,WI,http://www.arbys.com
6501 Landover Rd,Hyattsville,US,38.93153,-76.90149,Ny Chicken Fish,2,20785,MD,http://nychickenandfish.com
1080 Grand Ave,Farmington,US,40.98847,-111.91037,McDonald's,4,84025,UT,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
534 N Harrisville Rd,Ogden,US,41.26871,-111.97551,McDonald's,4,84404,UT,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
195 W 500 S,Bountiful,US,40.88431,-111.885435,Carl's Jr.,4,84010,UT,http://www.carlsjr.com
2207 Moody Parkway,Moody,US,33.573758,-86.518429,Bojangles' Famous Chicken 'n Biscuits,3,35004,AL,http://www.bojangles.com
505 N Jp Wright Loop Rd,Jacksonville,US,34.88394,-92.10688,Subway,4,72076,AR,http://www.subway.com
1360 E Yosemite Ave,Manteca,US,37.79709,-121.19426,McDonald's,5,95336,CA,"http://mcdonalds.com,http://goldenstatemcd.com/?cid=RF:YXT_FM:TP::Yext:Referral"
18988 Sonoma Hwy,Sonoma,US,38.3031,-122.477,McDonald's,2,95476,CA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
1520 S Stephenson Ave,Iron Mountain,US,45.80899,-88.05204,Taco Bell,4,49801,MI,"http://www.tacobell.com,https://locations.tacobell.com/mi/iron-mountain/1520-s-stephenson-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=033431andutm_content=website,https://locations.tacobell.com/mi/iron-mountain/1520-s-stephenson-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=033431&utm_content=website"
800 S Stephenson Ave,Iron Mountain,US,45.8156,-88.0643,Wendy's,2,49801,MI,http://www.wendys.com
561 W Main Ave,Taylorsville,US,35.92153,-81.18525,McDonald's,5,28681,NC,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
901 E Innes Street,Salisbury,US,35.6595,-80.462,Bojangles' Famous Chicken 'n Biscuits,5,28144,NC,http://locations.bojangles.com/nc/salisbury/901-e-innes-street.html
700 Forest Gate Center,Pisgah Forest,US,35.2759,-82.7022,Taco Bell,4,28768,NC,"http://www.tacobell.com,https://locations.tacobell.com/nc/pisgah-forest/700-forest-gate-center.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=027349&utm_content=website"
1304 E Broad Ave Tri City,Rockingham,US,34.9208,-79.7492,McDonald's,2,28379,NC,"http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
601 Jake Alexander Blvd,Salisbury,US,35.6628,-80.5006,McDonald's,3,28144,NC,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
2100 W Nash St,Wilson,US,35.7532,-77.9303,McDonald's,5,27893,NC,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
1500 Cotton Grove Road,Lexington,US,35.7834,-80.2596,Arby's,2,27292,NC,"http://www.arbys.com,http://locations.arbys.com/us/nc/lexington/1500-cotton-grove-road.html"
201 Walmart Cir,Booneville,US,34.67648,-88.5618,Domino's Pizza,4,38829,MS,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps"
721 1st Ave S,Jamestown,US,46.90149,-98.70773,Quiznos,4,58401,ND,http://restaurants.quiznos.com/nd/jamestown/firstavenueandeighthstreet-58401
2106 Rockford St,Mount Airy,US,36.4786,-80.61704,Burger King,2,27030,NC,http://www.bk.com
3100 S Broadway,Minot,US,48.2019,-101.2968,KFC,5,58701,ND,http://www.kfc.com
350 S Kirkwood Rd,Saint Louis,US,38.577081,-90.406467,McDonald's,4,63122,MO,http://mcdonalds.com
6883 Parker Rd,Florissant,US,38.79599,-90.23186,McDonald's,1,63033,MO,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
479 Foundry St,North Easton,US,42.0233,-71.1193,Burger King,4,2356,MA,http://www.bk.com
11820 Fountains Way,Osseo,US,45.0943,-93.4293,Chick-fil-A,2,55369,MN,http://www.chick-fil-a.com/maplegrove
5358 W Broadway Ave,Minneapolis,US,45.050488,-93.36073,Burger King,2,55428,MN,http://www.bk.com
1029 High Point St,Randleman,US,35.8219,-79.8244,Wendy's,4,27317,NC,http://www.wendys.com
838 S Van Buren Rd,Eden,US,36.48366,-79.73851,Arby's,5,27288,NC,"http://www.arbys.com,https://locations.arbys.com/us/nc/eden/838-s-van-buren-rd.html,http://locations.arbys.com/us/nc/eden/838-s-van-buren-rd.html"
913 Moye Blvd,Greenville,US,35.6023,-77.398,Hardee's,5,27834,NC,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJmAjFkdq5CXzml-iGP-LXsIGH5jQgkA8AscYXLrvXftrfVbMvC9wx0jMFnENanl5rhnxy4nJuhFL1qG4_okZjPi9cc4DNcY8TOvSLtmDdfr0trqIIYd5mOlCS2tA-G9kMLRATvsOSRuQ0SJBtBQIf7xXzLr3kBS4m2_SeHAozauFLPO3PZFQG_HcQ9ryu6RG9vNurjqVeZb-p75XO9YrHppGHN7etKHbG4hNHUvgkLjlpMmJ7ZalmKcYowMbKjiojUTQJ9mwQFH5OGqpvFwKUy1PjRR-CaLWsupFvydObAwZ5AOxNQ_6hRZhNnJgV2d-bmKS8HZrUTna3mmLn_tbgoYqj5e__DOFb&placement=listing_profile&cs_user=unknown&cs_session=5411731a0445369ee65e6444126e980c9e81e73f
102 4th St S,Wahpeton,US,46.2636,-96.60527,Domino's Pizza,3,58075,ND,"https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,http://www.dominos.com,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps"
5321 S La Grange Rd,La Grange,US,41.793075,-87.868794,Jimmy John's,3,60525,IL,
51 North Green Rd,Fairhope,US,30.524323,-87.886803,Arby's,1,36532,AL,http://www.arbys.com
6405 S Virginia St,Reno,US,39.466673,-119.786199,Subway,3,89511,NV,"http://www.subway.com,http://subway.com"
8200 Parkway Dr,La Mesa,US,32.7765,-117.0203,Chick-Fil-A,2,91942,CA,http://www.chick-fil-a.com/grossmont
1625 County Road 210 W,Saint Johns,US,30.06602,-81.49424,McDonald's,4,32259,FL,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1300 N Miller St,Wenatchee,US,47.440375,-120.324854,Taco Bell,2,98801,WA,"http://www.tacobell.com,https://locations.tacobell.com/wa/wenatchee/1300-north-miller-st.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=022518andutm_content=website"
20195 Mack Ave,Grosse Pointe,US,42.435377,-82.908547,Boston Market,1,48236,MI,http://www.bostonmarket.com
200 N Wilson Rd,Columbus,US,39.958945,-83.092816,Taco Bell,1,43204,OH,"http://www.tacobell.com,https://locations.tacobell.com/oh/columbus/200-n-wilson-rd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=005101andutm_content=website"
6776 Goshen Rd,Goshen,US,39.230265,-84.157713,McDonald's,5,45122,OH,
3903 Winston Ave,Latonia,US,39.04573,-84.5048,McDonald's,5,41015,KY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
5010 Delhi Ave,Cincinnati,US,39.095765,-84.609175,McDonald's,4,45238,OH,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
5225 Madison Rd,Cincinnati,US,39.16097,-84.40454,Rally's,1,45227,OH,"https://locations.rallys.com/oh/cincinnati/5225-madison-rd.,http://rallys.com"
410 Mt Zion Road,Florence,US,38.956768,-84.629193,Taco Bell,4,41042,KY,http://www.tacobell.com
4000 Alexandria Pike,Newport,US,39.0231,-84.44242,Bob Evans,3,41076,KY,"http://www.bobevans.com,https://www.bobevans.com/our-restaurants/locations/306"
9430 Fields Ertel Rd,Cincinnati,US,39.29121,-84.30123,Boston Market,2,45249,OH,"http://www.bostonmarket.com,https://www.bostonmarket.com/location/cincinnati-oh-330/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=330"
1742 N Wenatchee Ave,Wenatchee,US,47.44905,-120.33216,SONIC Drive In,2,98801,WA,https://locations.sonicdrivein.com/wa/wenatchee/1742-north-wenatchee-avenue.html
425 S Sunrise Way,Palm Springs,US,33.817629,-116.5288,Carl's Jr.,5,92262,CA,http://www.carlsjr.com
304 E National Ave,Brazil,US,39.524512,-87.12269923,Hardee's / Red Burrito,2,47834,IN,"http://www.hardees.com,http://hardees.com"
1992 Wentzville Pkwy,Wentzville,US,38.821684,-90.850965,Jack in the Box,4,63385,MO,http://www.jackinthebox.com
4385 Winston Ave,Latonia,US,39.039823,-84.507939,Wendy's,5,41015,KY,http://www.wendys.com
5013 Delhi Pike,Cincinnati,US,39.0948,-84.6097,Arby's,2,45238,OH,http://www.arbys.com
5301 Delhi Ave,Cincinnati,US,39.0934,-84.6185,White Castle,1,45238,OH,http://www.whitecastle.com
912 State Road 229,Batesville,US,39.30632,-85.21697,Taco Bell,5,47006,IN,"http://www.tacobell.com,https://locations.tacobell.com/in/batesville/912-state-road-229.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=J953001andutm_content=website"
1109 N Main St,Crown Point,US,41.428707,-87.36494,Arby's,2,46307,IN,"http://www.arbys.com,http://locations.arbys.com/us/in/crown-point/1109-n-main-st.html"
482 Orphanage Rd,Ft Mitchell,US,39.0325,-84.5371,White Castle,4,41017,KY,http://www.whitecastle.com
6707 Alexandria Pike,Alexandria,US,38.985426,-84.402603,McDonald's,3,41001,KY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
Terminal 3 4th Floor,Hebron,US,39.05544,-84.65603,Chick-Fil-A,2,41048,KY,"http://www.chick-fil-a.com,http://www.chick-fil-a.com/cincinnatiairport"
2095 Litton Ln,Hebron,US,39.0778,-84.70818,SONIC Drive In,2,41048,KY,https://locations.sonicdrivein.com/ky/hebron/2095-litton-lane.html
1450 Saint Johns Ln,Newport,US,39.01056,-84.46939,McDonald's,2,41076,KY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
2111 N Bend Rd,Hebron,US,39.08559,-84.71157,Jimmy John's,3,41048,KY,http://www.jimmyjohns.com
